airport_id,airport_seq_id,airport_code,city_name,state,airport_name
14256,1425604,PSG,"Petersburg, AK",AK,Petersburg James A. Johnson Airport
11146,1114605,CRW,"Charleston/Dunbar, WV",WV,West Virginia International Yeager Airport
14828,1482804,SIT,"Sitka, AK",AK,Sitka Rocky Gutierrez Airport
11503,1150304,EGE,"Eagle, CO",CO,Eagle County Regional Airport
10431,1043104,AVL,"Asheville, NC",NC,Asheville Regional Airport
15323,1532304,TRI,"Bristol/Johnson City/Kingsport, TN",TN,Tri-Cities Regional Airport
12265,1226504,IAG,"Niagara Falls, NY",NY,Niagara Falls International Airport
13342,1334206,MKE,"Milwaukee, WI",WI,Milwaukee Mitchell International Airport
10990,1099004,CHO,"Charlottesville, VA",VA,Charlottesville–Albemarle Airport
14696,1469607,SBN,"South Bend, IN",IN,South Bend International Airport
14711,1471104,SCE,"State College, PA",PA,University Park Airport
12007,1200703,GTR,"Columbus, MS",MS,Golden Triangle Regional Airport
12523,1252305,JNU,"Juneau, AK",AK,Juneau International Airport
10792,1079205,BUF,"Buffalo, NY",NY,Buffalo Niagara International Airport
11140,1114007,CRP,"Corpus Christi, TX",TX,Corpus Christi International Airport
14576,1457605,ROC,"Rochester, NY",NY,Greater Rochester International Airport
15016,1501605,STL,"St. Louis, MO",MO,St. Louis Lambert International Airport
10849,1084904,BZN,"Bozeman, MT",MT,Bozeman Yellowstone International Airport
10141,1014105,ABR,"Aberdeen, SD",SD,Aberdeen Regional Airport
11122,1112204,CPR,"Casper, WY",WY,Casper–Natrona County International Airport
11111,1111103,COU,"Columbia, MO",MO,Columbia Regional Airport
10590,1059003,IFP,"Bullhead City, AZ",AZ,Laughlin/Bullhead International Airport
11042,1104204,CLE,"Cleveland, OH",OH,Cleveland Hopkins International Airport
14100,1410004,PHL,"Philadelphia, PA",PA,Philadelphia International Airport
15412,1541204,TYS,"Knoxville, TN",TN,McGhee Tyson Airport
11577,1157705,ERI,"Erie, PA",PA,Erie International Airport
13873,1387304,OME,"Nome, AK",AK,Nome Airport
11721,1172104,FNT,"Flint, MI",MI,Bishop International Airport
11977,1197704,GRB,"Green Bay, WI",WI,Green Bay Austin Straubel International Airport
15919,1591903,XNA,"Fayetteville, AR",AR,Northwest Arkansas National Airport
10135,1013504,ABE,"Allentown/Bethlehem/Easton, PA",PA,Lehigh Valley International Airport
11111,1111104,COU,"Columbia, MO",MO,Columbia Regional Airport
12478,1247804,JFK,"New York, NY",NY,John F. Kennedy International Airport
13970,1397004,OTZ,"Kotzebue, AK",AK,Ralph Wien Memorial Airport
12953,1295303,LGA,"New York, NY",NY,LaGuardia Airport
12992,1299205,LIT,"Little Rock, AR",AR,Bill and Hillary Clinton National Airport
13476,1347604,MRY,"Monterey, CA",CA,Monterey Regional Airport
10747,1074704,BRO,"Brownsville, TX",TX,Brownsville South Padre Island International Airport
13933,1393301,ORH,"Worcester, MA",MA,Worcester Regional Airport
10299,1029901,ANC,"Anchorage, AK",AK,Ted Stevens Anchorage International Airport
12365,1236504,IPT,"Williamsport, PA",PA,Williamsport Regional Airport
13459,1345901,MQT,"Marquette, MI",MI,Sawyer International Airport
11003,1100301,CID,"Cedar Rapids/Iowa City, IA",IA,The Eastern Iowa Airport
14490,1449001,RDR,"Red River, ND",ND,Grand Forks Air Force Base
15027,1502702,STX,"Christiansted, VI",VI,Henry E. Rohlsen Airport
14730,1473001,SDF,"Louisville, KY",KY,Louisville Muhammad Ali International Airport
10561,1056101,BFL,"Bakersfield, CA",CA,Meadows Field Airport
11337,1133701,DLH,"Duluth, MN",MN,Duluth International Airport
14633,1463301,RST,"Rochester, MN",MN,Rochester International Airport
16440,1644001,AUS,"Austin, TX",TX,Austin-Bergstrom International Airport
12992,1299201,LIT,"Little Rock, AR",AR,Bill and Hillary Clinton National Airport
11413,1141301,DRO,"Durango, CO",CO,Durango–La Plata County Airport
12758,1275802,KOA,"Kona, HI",HI,Ellison Onizuka Kona International Airport at Keahole
13264,1326401,MFR,"Medford, OR",OR,Rogue Valley International-Medford Airport
11638,1163801,FAT,"Fresno, CA",CA,Fresno Yosemite International Airport
14576,1457601,ROC,"Rochester, NY",NY,Greater Rochester International Airport
11996,1199601,GSP,"Greer, SC",SC,Greenville–Spartanburg International Airport
13304,1330401,MIB,"Minot, ND",ND,Minot Air Force Base
10208,1020801,AGS,"Augusta, GA",GA,Augusta Regional Airport
11577,1157701,ERI,"Erie, PA",PA,Erie International Airport
12266,1226601,IAH,"Houston, TX",TX,George Bush Intercontinental Airport
12807,1280701,KSM,"St. Mary's, AK",AK,St. Marys Airport
10304,1030401,ANI,"Aniak, AK",AK,Aniak Airport
13176,1317602,MAZ,"Mayaguez, PR",PR,Mayaguez Airport
14986,1498601,SRQ,"Sarasota/Bradenton, FL",FL,Sarasota-Bradenton International Airport
11869,1186901,GCN,"Grand Canyon, AZ",AZ,Grand Canyon National Park Airport
15431,1543101,UCA,"Utica/Rome, NY",NY,Oneida County Airport
14716,1471601,SCK,"Stockton, CA",CA,Stockton Metropolitan Airport
11295,1129501,DET,"Detroit, MI",MI,Detroit City Airport
14679,1467901,SAN,"San Diego, CA",CA,San Diego International Airport
13360,1336001,MLB,"Melbourne, FL",FL,Melbourne Orlando International Airport
10868,1086801,CAE,"Columbia, SC",SC,Columbia Metropolitan Airport
12896,1289601,LBB,"Lubbock, TX",TX,Lubbock Preston Smith International Airport
10599,1059901,BHM,"Birmingham, AL",AL,Birmingham-Shuttlesworth International Airport
14162,1416202,PMD,"Palmdale, CA",CA,Palmdale Regional Airport
10910,1091001,CCR,"Concord, CA",CA,Buchanan Field Airport
11292,1129201,DEN,"Denver, CO",CO,Denver International Airport
11697,1169701,FLL,"Fort Lauderdale, FL",FL,Fort Lauderdale-Hollywood International Airport
14869,1486901,SLC,"Salt Lake City, UT",UT,Salt Lake City International Airport
11252,1125201,DAB,"Daytona Beach, FL",FL,Daytona Beach International Airport
15383,1538301,TVL,"Lake Tahoe, CA",CA,Lake Tahoe Airport
13158,1315801,MAF,"Midland/Odessa, TX",TX,Midland International Air and Space Port
14952,1495201,SPI,"Springfield, IL",IL,Abraham Lincoln Capital Airport
14583,1458302,ROR,"Koror, TT",TT,Roman Tmetuchl International Airport
14582,1458202,ROP,"Rota, TT",TT,Rota International Airport
12758,1275801,KOA,"Kona, HI",HI,Ellison Onizuka Kona International Airport at Keahole
15027,1502701,STX,"Christiansted, Virgin Islands",null,Henry E. Rohlsen Airport
15994,1599402,YAP,"Yap, Federated States of Micronesia",null,Yap International Airport
12016,1201601,GUM,"Guam, Guam",null,Antonio B. Won Pat International Airport
14955,1495501,SPN,"Saipan, Northern Mariana Islands",null,Saipan International Airport
10559,1055901,BFI,"Seattle, WA",WA,Boeing Field/King County International Airport
10136,1013601,ABI,"Abilene, TX",TX,Abilene Regional Airport
15024,1502402,STT,"Charlotte Amalie, Virgin Islands",null,Cyril E. King Airport
14583,1458301,ROR,"Koror, Palau District (TTPI)",null,Roman Tmetuchl International Airport
11298,1129801,DFW,"Dallas/Fort Worth, TX",TX,Dallas/Fort Worth International Airport
13851,1385101,OKC,"Oklahoma City, OK",OK,Will Rogers World Airport
12339,1233901,IND,"Indianapolis, IN",IN,Indianapolis International Airport
11259,1125901,DAL,"Dallas, TX",TX,Dallas Love Field
12889,1288901,LAS,"Las Vegas, NV",NV,Harry Reid International Airport
14843,1484301,SJU,"San Juan, Puerto Rico",null,Luis Muñoz Marín International Airport
11471,1147101,EAU,"Eau Claire, WI",WI,Chippewa Valley Regional Airport
14098,1409801,PHF,"Newport News/Williamsburg, VA",VA,Newport News/Williamsburg International Airport
14582,1458201,ROP,"Rota, Northern Mariana Islands",null,Rota International Airport
